648277 60 62
648282 60 62
648287 61 63
648292 61 63
648297 62 63
648302 62 63
648307 62 63
648312 62 64
648317 63 64
648322 63 63
648327 63 63
648332 62 63
648337 62 63
648342 63 63
648347 63 62
648352 62 62
648357 62 61
648362 61 61
648367 61 60
648372 60 60
648377 60 59
648382 59 58
648387 59 57
648392 58 57
648397 58 56
648402 57 55
648407 56 54
648412 55 53
648417 54 51
648422 53 50
648427 51 49
648432 50 48
648437 49 46
648442 48 45
648447 46 44
648452 45 42
648457 44 41
648462 42 39
648467 41 38
648472 40 36
648477 38 34
648482 37 33
648487 35 31
648492 33 29
648497 31 28
648502 30 26
648507 28 24
648512 26 22
648517 25 20
648522 23 18
648527 21 17
648532 19 15
648537 17 13
648542 15 11
648547 13 9
648552 11 7
648557 9 5
648562 7 3
648567 6 1
648572 5 -1
648577 3 -3
648582 1 -5
648587 -1 -7
648592 -3 -9
648597 -6 -11
648602 -8 -13
648607 -10 -14
648612 -11 -16
648617 -12 -18
648622 -14 -20
648627 -16 -22
648632 -19 -24
648637 -21 -26
648642 -23 -27
648647 -24 -29
648652 -26 -31
648657 -28 -33
648662 -29 -34
648667 -31 -36
648672 -32 -38
648677 -34 -39
648682 -36 -41
648687 -38 -42
648692 -39 -44
648697 -41 -45
648702 -42 -47
648707 -44 -48
648712 -45 -49
648717 -46 -50
648722 -47 -52
648727 -48 -53
648732 -50 -54
648737 -51 -55
648742 -53 -56
648747 -54 -57
648752 -55 -58
648757 -56 -59
648762 -57 -59
648767 -57 -60
648772 -58 -61
648777 -59 -61
648782 -60 -62
648787 -60 -63
648792 -61 -63
648797 -61 -63
648802 -62 -64
648807 -62 -64
648812 -62 -64
648817 -63 -64
648822 -63 -64
648827 -63 -64
648832 -63 -64
648837 -63 -64
648842 -63 -64
648847 -63 -64
648852 -63 -64
648857 -63 -63
648862 -63 -63
648867 -63 -63
648872 -62 -62
648877 -62 -61
648882 -61 -61
648887 -61 -60
648892 -60 -59
648897 -59 -59
648902 -59 -58
648907 -58 -57
648912 -57 -56
648917 -56 -55
648922 -55 -54
648927 -54 -53
648932 -53 -52
648937 -53 -50
648942 -51 -49
648947 -50 -48
648952 -49 -47
648957 -48 -45
648962 -47 -44
648967 -45 -42
648972 -43 -41
648977 -42 -39
648982 -40 -38
648987 -39 -36
648992 -37 -34
648997 -35 -33
649002 -34 -31
649007 -33 -29
649012 -31 -27
649017 -29 -26
649022 -27 -24
649027 -26 -22
649032 -24 -20
